Rep Detail Report V2: Ted Fall,,,,,,,,,,,,,,,
Generated: 2025-12-21 17:00:12,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Total Accounts:,Total 2024 Revenue:,Total 2025 Revenue:,Accounts Moved In:,Revenue Moved In:,Floor Exceptions:,Floor Exception Rev:,SF ex BI Accounts:,SF ex BI Rev:,Zero Rev Accounts:,Zero Rev New 2025:,,,,,
149,1622456.38,1676378.62,0,0.0,5,3088.0,0,0.0,31,7,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,18,776057.66,0,0,,,,,,,,,,
Group 1 Medium Potential: ,11,325049.67,0,0,,,,,,,,,,
Group 2 Medium Potential: ,44,285248.95,0,0,,,,,,,,,,
Group 2 High Potential: ,24,254696.5,0,0,,,,,,,,,,
Group 2 Low Potential: ,3,20814.5,0,0,,,,,,,,,,
Group 3 High Potential: ,16,7579.14,0,0,,,,,,,,,,
Group 3 Medium Potential: ,7,7293.5,3,0,,,,,,,,,,
Group 3 Low Potential: ,26,-361.3,2,0,,,,,,,,,,
Totals,149,1676378.62,5,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 29 accounts | $1101107.33 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1015016,Denise Glenn Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,3525.0,3797.0,2,4,FALSE,N,FALSE,FALSE,N
1012723,Alyssa Santiago Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,32131.88,3749.0,9,2,FALSE,N,FALSE,FALSE,N
1001897,Cody Beal Interior Design,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,2965.5,3713.9,3,2,FALSE,N,FALSE,FALSE,N
1013350,Style By Design LLC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,5861.8,3616.0,5,7,FALSE,N,FALSE,FALSE,N
1009003,The Picket Fence,RETAIL,SINGLE_LOCATION,Group 2 Low Potential,Ted Fall,Ted Fall,4300.8,3545.0,2,1,FALSE,N,FALSE,FALSE,N
1001234,Montana Expressions,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Ted Fall,Ted Fall,5092.0,3390.0,1,1,FALSE,N,FALSE,FALSE,N
1000364,Carpet Studio Inc.,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Ted Fall,Ted Fall,2024.0,3017.0,3,3,FALSE,N,FALSE,FALSE,N
1020982,House of Jade Home,E-TAILER,SPECIALTY,Group 2 Medium Potential,Ted Fall,Ted Fall,12766.56,2972.0,18,13,FALSE,N,FALSE,FALSE,N
1002330,Amanda Jones Furniture,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,0.0,2910.0,1,1,FALSE,N,FALSE,FALSE,N
1014906,Edit Design House,DESIGN,DESIGN_FIRM,Group 2 High Potential,Ted Fall,Ted Fall,11779.0,2908.09,12,6,FALSE,N,FALSE,FALSE,N
1003675,Finishing Touches (WY),RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Ted Fall,Ted Fall,5727.5,2897.0,8,5,FALSE,N,FALSE,FALSE,N
1017732,Homewares LLC / DBA Home Again,RETAIL,SINGLE_LOCATION,Group 2 Medium Potential,Ted Fall,Ted Fall,6095.8,2835.4,3,5,FALSE,N,FALSE,FALSE,N
1008504,Passport Furnishings LLC,RETAIL,MULTIPLE_LOCATIONS,Group 2 Medium Potential,Ted Fall,Ted Fall,4445.5,2758.0,11,6,FALSE,N,FALSE,FALSE,N
1024066,gode haus design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,Ted Fall,Ted Fall,120.0,2700.0,1,2,FALSE,N,FALSE,FALSE,N
1003664,"Studio McGee, LLC",DESIGN,DESIGN_FIRM,Group 2 Medium Potential,Ted Fall,Ted Fall,119.0,2590.0,3,2,FALSE,N,FALSE,FALSE,N
1035352,Eryn Lambert Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,Ted Fall,Ted Fall,0.0,2544.0,0,2,TRUE,N,FALSE,FALSE,N
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 3 (LOW REVENUE) - KEEPING: 44 accounts | $11423.34 revenue,,,,,,,,,,,,,,,
(Protected accounts - not flagged for floor removal),,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Assigned_Rep_Name,Final_Rep_Name,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1038696,Cactus Rd Interiors,RETAIL,SINGLE_LOCATION,Group 3 High Potential,Ted Fall,Ted Fall,0.0,2315.0,0,1,TRUE,N,FALSE,FALSE,N
1035704,Scape Design Studio,DESIGN,ARCHITECT_BUILDER,Group 3 High Potential,Ted Fall,Ted Fall,0.0,2226.0,0,2,TRUE,N,FALSE,FALSE,N
1004172,Madison McCord Interiors,RETAIL,SINGLE_LOCATION,Group 3 Medium Potential,Ted Fall,Ted Fall,0.0,2208.5,0,1,FALSE,N,FALSE,FALSE,N
1036163,Ambient Home and Design,DESIGN,DESIGN_FIRM,Group 3 High Potential,Ted Fall,Ted Fall,0.0,1653.0,0,3,TRUE,N,FALSE,FALSE,N
